Price,Close,High,Low,Open,Volume
Date,,,,,
1997-12-12,3329.27001953125,3383.320068359380,3320.669921875,3340.14990234375,0
1997-12-15,3367.56005859375,3371.72998046875,3291.090087890630,3321.550048828130,0
1997-12-16,3424.8701171875,3444.919921875,3374.280029296880,3374.580078125,0
1997-12-17,3487.02001953125,3499.260009765630,3455.10009765625,3458.27001953125,0
1997-12-18,3472.35009765625,3525.60009765625,3463.260009765630,3481.949951171880,0
1997-12-19,3540.18994140625,3542.0400390625,3460.179931640630,3463.4599609375,0
1997-12-22,3616.340087890630,3629.419921875,3553.679931640630,3553.679931640630,0
1997-12-23,3641.110107421880,3676.760009765630,3627.090087890630,3639.97998046875,0
1997-12-24,3607.68994140625,3616.949951171880,3549.580078125,3596.070068359380,0
1997-12-26,3633.3798828125,3651.419921875,3620.919921875,3620.919921875,0
1997-12-29,3706.7900390625,3709.719970703130,3643.780029296880,3648.64990234375,0
1997-12-30,3637.7099609375,3703.840087890630,3623.929931640630,3703.840087890630,0
1997-12-31,3658.97998046875,3711.260009765630,3630.47998046875,3630.47998046875,0
1998-01-01,3694.6201171875,3711.68994140625,3658.340087890630,3658.340087890630,0
1998-01-02,3719.85009765625,3739.3798828125,3701.39990234375,3704.469970703130,0
1998-01-05,3739.2099609375,3792.860107421880,3736.93994140625,3745.18994140625,0
1998-01-06,3719.6201171875,3727.239990234380,3684.02001953125,3724.429931640630,0
1998-01-07,3683.31005859375,3745.7099609375,3658.949951171880,3715.3798828125,0
1998-01-08,3598.159912109380,3679.139892578130,3598.159912109380,3671.68994140625,0
1998-01-09,3530.199951171880,3579.239990234380,3514.989990234380,3579.239990234380,0
1998-01-12,3395.0400390625,3482.97998046875,3394.949951171880,3482.97998046875,0
1998-01-13,3431.719970703130,3479.949951171880,3417.050048828130,3427.14990234375,0
1998-01-14,3400.7900390625,3482.050048828130,3380.97998046875,3431.719970703130,0
1998-01-15,3365.780029296880,3415.8701171875,3318.68994140625,3390.3701171875,0
1998-01-16,3382.320068359380,3398.969970703130,3351.2099609375,3373.10009765625,0
1998-01-19,3480.860107421880,3484.77001953125,3374.389892578130,3383.889892578130,0
1998-01-20,3455.949951171880,3516.0,3448.969970703130,3487.860107421880,0
1998-01-21,3418.340087890630,3462.360107421880,3418.199951171880,3452.360107421880,0
1998-01-22,3380.300048828130,3409.340087890630,3366.93994140625,3408.669921875,0
1998-01-23,3351.2099609375,3375.860107421880,3340.31005859375,3375.860107421880,0
1998-01-27,3276.2099609375,3355.219970703130,3272.179931640630,3352.06005859375,0
1998-01-28,3209.550048828130,3301.89990234375,3200.830078125,3272.739990234380,0
1998-01-29,3224.360107421880,3230.64990234375,3164.659912109380,3204.10009765625,0
1998-02-02,3354.800048828130,3364.3701171875,3288.780029296880,3288.780029296880,0
1998-02-03,3354.8798828125,3363.330078125,3326.169921875,3360.39990234375,0
1998-02-04,3319.18994140625,3394.929931640630,3312.010009765630,3359.239990234380,0
1998-02-05,3352.47998046875,3366.070068359380,3336.969970703130,3339.02001953125,0
1998-02-06,3366.699951171880,3374.0400390625,3338.090087890630,3367.77001953125,0
1998-02-09,3348.35009765625,3371.610107421880,3345.340087890630,3359.469970703130,0
1998-02-10,3317.699951171880,3351.5,3315.81005859375,3345.179931640630,0
1998-02-11,3292.909912109380,3342.080078125,3288.760009765630,3330.110107421880,0
1998-02-12,3293.889892578130,3299.5,3261.3798828125,3289.449951171880,0
1998-02-13,3373.530029296880,3373.530029296880,3297.5400390625,3306.389892578130,0
1998-02-16,3449.77001953125,3451.6298828125,3384.7099609375,3384.7099609375,0
1998-02-17,3413.360107421880,3459.820068359380,3403.489990234380,3459.820068359380,0
1998-02-18,3401.8798828125,3436.949951171880,3387.320068359380,3408.75,0
1998-02-19,3437.639892578130,3446.530029296880,3411.75,3414.590087890630,0
1998-02-20,3417.300048828130,3466.280029296880,3409.6201171875,3444.510009765630,0
1998-02-23,3478.39990234375,3479.199951171880,3424.139892578130,3426.8798828125,0
1998-02-24,3484.68994140625,3484.72998046875,3462.8798828125,3481.4599609375,0
1998-02-26,3571.6298828125,3584.669921875,3526.35009765625,3535.239990234380,0
1998-02-27,3622.219970703130,3639.840087890630,3578.889892578130,3578.889892578130,0
1998-03-02,3772.610107421880,3782.340087890630,3657.570068359380,3657.570068359380,0
1998-03-04,3743.929931640630,3751.820068359380,3660.159912109380,3660.159912109380,0
1998-03-05,3714.6201171875,3771.659912109380,3699.72998046875,3699.72998046875,0
1998-03-06,3708.580078125,3720.2099609375,3675.570068359380,3709.8798828125,0
1998-03-09,3807.2099609375,3810.2099609375,3760.659912109380,3775.5400390625,0
1998-03-10,3798.25,3830.969970703130,3783.989990234380,3810.14990234375,0
1998-03-11,3752.090087890630,3792.260009765630,3691.199951171880,3791.110107421880,0
1998-03-12,3716.5,3750.989990234380,3694.280029296880,3713.02001953125,0
1998-03-16,3785.22998046875,3832.510009765630,3780.889892578130,3780.889892578130,0
1998-03-17,3791.169921875,3791.860107421880,3729.1298828125,3771.590087890630,0
1998-03-18,3825.02001953125,3839.550048828130,3788.39990234375,3803.659912109380,0
1998-03-19,3820.8701171875,3852.419921875,3802.5,3848.320068359380,0
1998-03-20,3840.39990234375,3840.719970703130,3785.949951171880,3802.010009765630,0
1998-03-23,3963.81005859375,3973.699951171880,3920.320068359380,3920.320068359380,0
1998-03-24,3927.669921875,3999.030029296880,3920.929931640630,3982.6298828125,0
1998-03-25,3949.570068359380,3969.14990234375,3884.7099609375,3913.9599609375,0
